Name,Code,Industry,PriceView,CAGRView,FinalView,Investment
"8K Miles Software Services",7765,IT,YES,YES,YES,
ABB,292,Engineering,,,,
ACC,338,Cement,,,,
"ADF Foods",174,"Consumer Goods",YES,,Explore,
"AIA Engineering",16461,Engineering,YES,,Explore,
"APL Apollo Tubes",4622,Auto,YES,YES,YES,
"Aarti Industries",39,Chemicals,YES,Explore,Explore,
"Aban Offshore",42,General,,,,
"Abbott India",2105,Pharma,Explore,YES,YES,
"Adani Ports and Special Economic Zone",17950,Engineering,YES,YES,YES,
"Adani Power",20391,Utilities,,Explore,,
"Adani Transmission",22965,Utilities,,YES,Explore,
"Aditya Birla Fashion and Retail",22048,General,,YES,Explore,YES
"Aegis Logistics",87,Services,Explore,Explore,Explore,
"Ahluwalia Contracts",6295,Engineering,YES,YES,YES,
"Ajanta Pharma",6424,Pharma,YES,YES,YES,
"Akzo Nobel India",1623,Pharma,Explore,,,
"Alembic Pharmaceuticals",21475,Pharma,YES,YES,YES,
"Alkem Laboratories",17126,Pharma,YES,YES,YES,
"Allcargo Logistics",16704,Services,YES,,Explore,
"Amara Raja Batteries",161,Auto,Explore,YES,YES,YES
"Ambuja Cements",1374,Cement,,YES,Explore,YES
"Anant Raj",200,"Real Estate",,,,
"Apollo Hospitals",239,Services,,YES,Explore,
"Apollo Tyres",241,Auto,YES,,Explore,YES
Arvind,284,Manufacturing,YES,Explore,Explore,YES
"Ashok Leyland",306,Auto,YES,YES,YES,
"Ashoka Buildcon",21008,Engineering,YES,YES,YES,
"Asian Paints",329,Chemicals,Explore,,,YES
"Astra Microwave Products",7374,General,,,,
"Astral Poly Technik",17181,Chemicals,Explore,YES,YES,
Atul,358,Chemicals,YES,,Explore,
"Atul Auto",356,Auto,,YES,Explore,
"Aurobindo Pharma",363,Pharma,YES,YES,YES,YES
"Avenue Supermarts",22663,General,,YES,Explore,
"Axis Bank",5745,Bank/Finance,,YES,Explore,YES
"BASF India",384,Chemicals,Explore,,,
BEML,515,Engineering,,,,
"BF Utilities",6711,Utilities,YES,YES,YES,
"BGR Energy Systems",18059,Utilities,,,,
BHEL,520,Engineering,,,,
BPCL,525,"Oil and Gas",YES,,Explore,YES
BSE,23649,General,,YES,Explore,YES
"Bajaj Auto",18752,Auto,YES,,Explore,YES
"Bajaj Corp Ltd.",20914,"Consumer Goods",YES,,Explore,
"Bajaj Electricals",418,"Consumer Goods",,,,
"Bajaj Finance",416,Bank/Finance,YES,YES,YES,YES
"Bajaj Finserv",18751,Bank/Finance,YES,YES,YES,
"Balaji Telefilms",6598,General,YES,YES,YES,
"Balkrishna Inds.",438,Auto,YES,,Explore,YES
"Balmer Lawrie and Co.",440,Services,YES,,Explore,
"Balrampur Chini Mills",443,General,YES,Explore,Explore,
"Banco Products (I)",449,Auto,YES,,Explore,
"Bank of Baroda",451,Bank/Finance,,,,YES
"Bata India",467,General,,,,
"Bayer CropScience",471,Chemicals,Explore,,,
"Berger Paints India",488,Chemicals,Explore,,,YES
"Bharat Bijlee",513,Engineering,YES,,Explore,
"Bharat Electronics",516,Manufacturing,YES,,Explore,YES
"Bharat Financial Inclusion",20575,Bank/Finance,YES,YES,YES,
"Bharat Forge",518,Manufacturing,Explore,,,
"Bharti Airtel",6321,General,,,,
"Bharti Infratel",21887,Services,YES,Explore,Explore,
Biocon,15774,Pharma,Explore,YES,YES,YES
"Birla Corporation",564,Cement,YES,YES,YES,
"Bliss GVS Pharma",573,Pharma,YES,YES,YES,
"Blue Star",583,"Consumer Goods",,YES,Explore,
"Bombay Burmah",587,"Consumer Goods",Explore,,,
"Bombay Dyeing and Mfg. Co.",590,Manufacturing,,,,
Bosch,2522,Auto,Explore,,,
"Britannia Inds.",611,"Consumer Goods",Explore,Explore,Explore,
"CCL Products (I)",797,"Consumer Goods",Explore,Explore,Explore,
CESC,623,Utilities,YES,YES,YES,YES
"CG Power and Industrial Solutions",831,Utilities,,,,
CRISIL,827,General,,YES,Explore,
"Cadila Healthcare",6179,Pharma,Explore,Explore,Explore,YES
"Can Fin Homes",646,Bank/Finance,Explore,YES,YES,YES
"Capital First",18169,Bank/Finance,YES,YES,YES,YES
"Caplin Point Laboratories",653,Pharma,YES,YES,YES,
"Castrol India",665,"Oil and Gas",,,,
Ceat,670,Auto,YES,,Explore,YES
"Century Plyboards (India)",15920,General,Explore,YES,YES,
"Century Textiles and Inds.",689,Manufacturing,,,,
