Name,Value Research ID,Industry,Investment,,,
3M India,562,General,,,,
8K Miles Software Services,7765,IT,,,YES,104
Aarti Industries,39,Chemicals,,,Planned,39
Aban Offshore,42,General,,,,
ABB,292,Engineering,,,,
Abbott India,2105,Pharma,YES,,,
ABC Bearings,228,Engineering,,,,
ACC,338,Cement,,,,
Adani Enterprises Ltd.,57,Engineering,,,,
Adani Ports and Special Economic Zone,17950,Engineering,Planned,,,
Adani Power,20391,Utilities,,,,
Adani Transmission,22965,Utilities,,,,
ADF Foods,174,Consumer Goods,,,,
Aditya Birla Fashion and Retail,22048,General,YES,,,
Aditya Birla Money,18913,Bank/Finance,,,,
Advanced Enzyme Technologies,23459,Consumer Goods,,,,
Aegis Logistics,87,Services,,,,
Ahluwalia Contracts,6295,Engineering,Planned,,,
AIA Engineering,16461,Engineering,,,,
Ajanta Pharma,6424,Pharma,YES,,,
Aksharchem,359,Chemicals,,,,
Akzo Nobel India,1623,Pharma,,,,
Alembic Pharmaceuticals,21475,Pharma,,,,
Allahabad Bank,17126,Pharma,YES,,,
Allahabad Bank,6798,Bank/Finance,,,,
Allcargo Logistics,16704,Services,,,,
Alphageo (India),144,Services,,,,
Amara Raja Batteries,161,Auto,YES,,,
Ambuja Cements,1374,Cement,YES,,,
Anant Raj,200,Real Estate,,,,
Andhra Bank,6470,Bank/Finance,,,,
Apar Industries,1378,Engineering,,,,
APL Apollo Tubes,4622,Auto,Planned,,,
Apollo Hospitals,239,Services,,,,
Apollo Tyres,241,Auto,YES,,,
Arcotech,18073,Engineering,,,,
Arihant Superstructures,7861,Real Estate,,,,
Arvind,284,Manufacturing,YES,,,
Ashok Leyland,306,Auto,YES,,,
Ashoka Buildcon,21008,Engineering,Planned,,,
Asian granito,17602,Manufacturing,,,,
Asian Paints,329,Chemicals,YES,,,
Astec Lifescience,20554,Pharma,,,,
Astra Microwave Products,7374,General,,,,
Astral Poly Technik,17181,Chemicals,,,,
AstraZenca Pharma India Ltd.,346,Pharma,,,,
Atul,358,Chemicals,,,,
Atul Auto,356,Auto,,,,
Au Small Finanace,21728,Bank/Finance,,,,
Aurobindo Pharma,363,Pharma,YES,,,
Avanti Feeds Ltd.,374,Consumer Goods,,,,
Avenue Supermarts,22663,General,,,,
Axis Bank,5745,Bank/Finance,YES,,,
Bajaj Auto,18752,Auto,YES,,,
Bajaj Corp Ltd.,20914,Consumer Goods,,,,
Bajaj Electricals,418,Consumer Goods,,,,
Bajaj Finance,416,Bank/Finance,YES,,,
Bajaj Finserv,18751,Bank/Finance,Planned,,,
Bajaj Hindusthan Sugar Ltd.,420,Consumer Goods,,,,
Bajaj Holdings & Investment Ltd.,417,Bank/Finance,,,,
Balaji Telefilms,6598,General,,,,
Balkrishna Inds.,438,Auto,YES,,,
Balmer Lawrie and Co.,440,Services,,,,
Balrampur Chini Mills,443,General,,,,
Banco Products (I),449,Auto,YES,,,
Bank of Baroda,451,Bank/Finance,YES,,,
Bank of India,452,Bank/Finance,,,,
BASF India,384,Chemicals,,,,
Bata India,467,General,,,,
Bayer CropScience,471,Chemicals,,,,
BEML,515,Engineering,,,,
Berger Paints India,488,Chemicals,YES,,,
BF Utilities,6711,Utilities,Planned,,,
BGR Energy Systems,18059,Utilities,,,,
Bhansali engineering,510,Chemicals,,,,
Bharat Bijlee,513,Engineering,,,,
Bharat Electronics,516,Manufacturing,YES,,,
Bharat Financial Inclusion,20575,Bank/Finance,Planned,,,
Bharat Forge,518,Manufacturing,YES,,,
Bharti Airtel,6321,General,,,,
Bharti Infratel,21887,Services,,,,
BHEL,520,Engineering,YES,,,
Biocon,15774,Pharma,YES,,,
Birla Corporation,564,Cement,,,,
Bliss GVS Pharma,573,Pharma,Planned,,,
Blue Dart Express Ltd.,582,Services,,,,
Blue Star,583,Consumer Goods,,,,
Bodal Chemicals,963,Chemicals,,,,
Bombay Burmah,587,Consumer Goods,,,,
Bombay Dyeing and Mfg. Co.,590,Manufacturing,,,,
Bombay Rayon Fashions Ltd.,16384,Manufacturing,,,,
Bosch,2522,Auto,,,,
BPCL,525,Oil and Gas,YES,,,
Brigade Enterprises,18074,Real Estate,,,,
Britannia Inds.,611,Consumer Goods,,,,
BSE,23649,General,YES,,,
Cadila Healthcare,6179,Pharma,YES,,,
Can Fin Homes,646,Bank/Finance,YES,,,
Canara Bank,6218,Bank/Finance,,,,
Capital First,18169,Bank/Finance,YES,,,
Caplin Point Laboratories,653,Pharma,Planned,,,
Carborundum Universal,659,Mines/Mineral,,,,
CARE Ratings Ltd.,5806,Services,,,,
Castrol India,665,Oil and Gas,,,,
CCL Products (I),797,Consumer Goods,,,,
Ceat,670,Auto,YES,,,
Central Bank of India,6216,Bank/Finance,,,,
Central Depository Services,23780,Services,,,,
Centum Electronics,6190,Engineering,,,,
Century Plyboards (India),15920,General,,,,
Century Textiles and Inds.,689,Manufacturing,,,,
Cera Sanitaryware,7375,General,,,,
CESC,623,Utilities,YES,,,
CG Power and Industrial Solutions,831,Utilities,,,,
Chambal Fertilisers and Chem.,700,Chemicals,,,,
Chennai Petro,2289,Oil and Gas,,,,
Cholamandalam Invest. and Fin.,740,Bank/Finance,YES,,,
Cipla,748,Pharma,YES,,,
City Union Bank Ltd.,7239,Bank/Finance,,,,
Claris Lifesciences,21086,Pharma,,,,
Coal India,4673,Mines/Mineral,YES,,,
Cochin Shipyard,23846,Services,,,,
Coffee Day Enterprises,22579,Services,,,,
Colgate-Palmolive (I),776,Consumer Goods,,,,
Container Corp.,794,Services,,,,
Coromandel International,811,Chemicals,,,,
Corporation Bank,814,Bank/Finance,,,,
Cox and Kings,17184,Services,,,,
Credit Analysis and Research,5806,Services,,,,
CRISIL,827,General,,,,
Crompton Greaves ,23321,Engineering,,,,
Cummins India,841,Engineering,,,,
Cyient,5968,IT,,,,
D.B.Corp Ltd.,20596,General,,,,
Dabur India,870,Consumer Goods,YES,,,
Dalmia Bharat,21112,Cement,,,,
DB Realty,20665,Real Estate,,,,
DCB Bank,7306,Bank/Finance,,,,
DCM Shriram,855,General,,,,
Deccan Cements,892,Cement,,,,
Deepak Fertilisers and Petro.,899,Chemicals,Planned,,,
Deepak Nitrite,900,Chemicals,,,,
Delta Corp,275,Services,Planned,,,
Den Networks Ltd.,20553,Services,,,,
Dena Bank,907,Bank/Finance,,,,
Dewan Housing Fin. Corpn.,923,Bank/Finance,YES,,,
Dhanuka Agritech,934,Chemicals,,,,
Dilip Buildcon,23477,Engineering,Planned,,,
Dish TV India,17182,Services,,,,
Dishman Carbogen Amcis,23756,Pharma,YES,,,
Divi's Laboratories,7301,Pharma,YES,,,
DLF,16884,Real Estate,,,,
Dr. Lal Pathlabs,23201,Services,,,,
Dr. Reddy's Lab,981,Pharma,YES,,,
Dredging Corp. of India,985,Services,,,,
eClerx Services,18075,IT,,,,
Edelweiss Financial Services,17472,Bank/Finance,YES,,,
Eicher Motors Ltd.,1029,Auto,,,,
EID-Parry (I),1005,General,,,,
EIH Ltd.,1007,General,,,,
Elgi Equipments,1081,Engineering,,,,
Emami,1053,Consumer Goods,,,,
Emkay Global Financial,1539,Bank/Finance,,,,
Endurance Technologies,16605,Auto,,,,
Engineers India,23561,Engineering,YES,,,
EPC Inds.,1011,Chemicals,,,,
Equitas Holdings,20604,Bank/Finance,YES,,,
Eros International Media,21007,General,,,,
Escorts,1095,Auto,,,,
Essel Propack Ltd.,1102,General,,,,
Eveready Industries (I),1120,General,,,,
Exide Inds.,1126,Auto,YES,,,
FDC,1130,Pharma,YES,,,
Federal Bank,1140,Bank/Finance,,,,
Federal Mogul Goetze,1316,Auto,,,,
Finolex Cables,1158,General,,,,
Finolex Inds.,1159,Chemicals,,,,
Firstsource Solutions Ltd.,17137,Services,,,,
Fortis Healthcare (India),17265,Services,,,,
Future Consumer Ltd.,21325,General,,,,
Future Lifestyle Fashion,22107,Services,,,,
Future Retail,23379,General,,,,
Gabriel India,1230,Auto,,,,
GAIL,1263,Oil and Gas,,,,
Gateway Distriparks Ltd.,15954,General,,,,
Gati,6660,Services,,,,
Gayatri Projects,6741,Real Estate,,,,
GE Power India Ltd.,6203,Utilities,,,,
GE T and D (I),6285,General,,,,
General Insurance Corporation,23934,Insurance,,,,
Genus power,1279,Utilities,,,,
Geojit Financial Services,4796,Bank/Finance,,,,
GHCL,1395,Chemicals,,,,
Gillette,1708,Consumer Goods,,,,
Glaxosmithkline Consumer Healthcare,3700,Consumer Goods,,,,
Glaxosmithkline Pharmaceuticals Ltd.,6830,Pharma,,,,
Glenmark Pharma.,6194,Pharma,YES,,,
GMDC,1409,Mines/Mineral,,,,
GMR Infrastructure Ltd.,6707,Real Estate,,,,
GNFC,1412,Chemicals,,,,
Godfrey Phillips India,1313,Consumer Goods,YES,,,
Godrej Consumer Products,6734,Consumer Goods,Planned,,,
Godrej Industries,1315,General,,,,
Godrej Properties,5917,Real Estate,YES,,,
Goodyear India,1337,Auto,,,,
Granules India,7381,Pharma,YES,,,
Graphite India,1352,Engineering,,,,
Grasim Industries,1353,Cement,Planned,,,
Grauer and Weil (I),1355,Chemicals,,,,
Great Eastern Shipping Co.,1357,Services,,,,
Greaves Cotton,1359,Engineering,,,,
Greenply Inds.,1363,General,YES,,,
Grindwell Norton,1368,Engineering,,,,
Gruh Finance,1372,Bank/Finance,Planned,,,
GSFC,1429,Chemicals,,,,
Gujarat Alkalies & Chemicals Ltd.,1373,Chemicals,,,,
Gujarat Fluorochemicals,16522,Chemicals,,,,
Gujarat Fluorochemicals Ltd.,1393,Chemicals,,,,
Gujarat Gas,1393,Oil and Gas,,,,
Gujarat Gas Ltd.,22210,Oil and Gas,,,,
Gujarat Industries Power,22210,Utilities,,,,
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,1412,Chemicals,,,,
Gujarat Pipavav Port,1399,Services,,,,
Gujarat State Petronet,6211,Oil and Gas,YES,,,
Hathway Cable & Datacom Ltd.,20667,Services,,,,
Hatsun Agro,1504,Consumer Goods,,,,
Havells India,1505,Engineering,,,,
HBL Power,3383,Utilities,,,,
HCL Infosystems,1457,IT,,,,
