Name,Value Research ID,Industry,MyOpinion,Investment,CAGR %
8K Miles Software Services,7765,IT,YES-S,,59.8
Aarti Industries,39,Chemicals,,,11.45
Aban Offshore,42,General,,,-0.1
ABB,292,Engineering,,,2.55
Abbott India,2105,Pharma,Explore,,15.62
ACC,338,Cement,,,1.32
Adani Ports and Special Economic Zone,17950,Engineering,YES - L,,24.45
Adani Power,20391,Utilities,,,40.43
Adani Transmission,22965,Utilities,Explore,,175.59
ADF Foods,174,Consumer Goods,,,8.33
Aditya Birla Fashion and Retail,22048,General,Explore,YES,179.29
Aegis Logistics,87,Services,,,11.67
Ahluwalia Contracts,6295,Engineering,,,-3.53
AIA Engineering,16461,Engineering,YES-M,,10.27
Ajanta Pharma,6424,Pharma,YES-M,,21.68
Akzo Nobel India,1623,Pharma,,,13.33
Alembic Pharmaceuticals,21475,Pharma,,,13.32
Alkem Laboratories,17126,Pharma,YES - L,,19.13
Allcargo Logistics,16704,Services,,,9.99
Amara Raja Batteries,161,Auto,Explore,YES,17.18
Ambuja Cements,1374,Cement,Explore,YES,15.49
Anant Raj,200,Real Estate,,,0.88
APL Apollo Tubes,4622,Auto,Explore,,29.22
Apollo Hospitals,239,Services,Explore,,16.82
Apollo Tyres,241,Auto,YES-M,YES,5.87
Arvind,284,Manufacturing,YES-M,YES,12.25
Ashok Leyland,306,Auto,YES - L,,18.58
Ashoka Buildcon,21008,Engineering,Explore,,18.65
Asian Paints,329,Chemicals,Explore,YES,10.38
Astra Microwave Products,7374,General,Explore,,21.49
Astral Poly Technik,17181,Chemicals,Explore,,24.36
Atul,358,Chemicals,,,9.01
Atul Auto,356,Auto,YES-S,,17.47
Aurobindo Pharma,363,Pharma,YES - L,YES,21.13
Avenue Supermarts,22663,General,Explore,,31.1
Axis Bank,5745,Bank/Finance,YES - L,YES,16.46
Bajaj Auto,18752,Auto,Explore,YES,2.15
Bajaj Corp Ltd.,20914,Consumer Goods,YES-M,,8.62
Bajaj Electricals,418,Consumer Goods,,,-3.71
Bajaj Finance,416,Bank/Finance,YES - L,YES,21.65
Bajaj Finserv,18751,Bank/Finance,YES - L,,35.35
Balaji Telefilms,6598,General,,,6.95
Balkrishna Inds.,438,Auto,YES-M,YES,12.14
Balmer Lawrie and Co.,440,Services,YES-S,,7.09
Balrampur Chini Mills,443,General,YES-S,,6.91
Banco Products (I),449,Auto,YES-S,,5.64
Bank of Baroda,451,Bank/Finance,Explore,YES,10.65
BASF India,384,Chemicals,,,7.44
Bata India,467,General,,,10
Bayer CropScience,471,Chemicals,,,4.15
BEML,515,Engineering,,,0.24
Berger Paints India,488,Chemicals,Explore,YES,9.95
BF Utilities,6711,Utilities,Explore,,21.69
BGR Energy Systems,18059,Utilities,,,0.48
Bharat Bijlee,513,Engineering,,,-0.4
Bharat Electronics,516,Manufacturing,YES - L,YES,5.11
Bharat Financial Inclusion,20575,Bank/Finance,YES-M,,4.5
Bharat Forge,518,Manufacturing,YES - L,YES,3.4
Bharti Airtel,6321,General,,,7.18
Bharti Infratel,21887,Services,,,-1.8
BHEL,520,Engineering,,YES,-3.5
